Municipios,Edad media de la población,Población,Porcentaje de hogares unipersonales,Porcentaje de población de 65 y más años,Porcentaje de población española,Porcentaje de población menor de 18 años,Tamaño medio del hogar,Media de la renta por unidad de consumo,Mediana de la renta por unidad de consumo,Renta bruta media por hogar,Renta bruta media por persona,Renta neta media por hogar,Renta neta media por persona,Distribución de la renta P80/P20,Índice de Gini
02063 Pozohondo,"49,5",1.553,"35,8","29,4",95,"11,7","2,2",15.572,14.350,27.626,12.338,24.447,10.918,"2,4","27,7"
02064 Pozo-Lorente,"54,3",390,"41,6","36,4","95,6","4,9",2,19.258,15.050,33.002,15.980,28.382,13.743,"2,9","33,9"
02065 Pozuelo,"52,1",469,51,"29,4","99,2","6,4","1,9",18.940,16.450,30.713,16.085,26.335,13.792,"2,6","29,8"
"02066 Recueja, La","54,9",221,"39,2","41,2","96,8","5,4","2,2",15.915,14.350,27.554,12.717,24.432,11.276,"2,4","27,9"
02067 Riópar,"47,9",1.323,"34,4","24,5","97,3","12,7","2,2",15.034,13.650,26.365,11.783,23.337,10.430,"2,4","29,4"
02068 Robledo,"47,7",396,"41,9","22,7","95,7","11,4","2,2",17.515,15.750,31.065,14.034,27.298,12.333,"2,2","26,7"
"02069 Roda, La","42,7",15.565,"25,5","18,5","86,4","18,1","2,6",16.749,15.050,34.413,13.050,29.313,11.116,"2,4",29
02070 Salobre,"51,2",435,"46,1","32,4","91,5","11,7",2,17.141,13.650,32.026,15.827,26.260,12.978,"2,4",28
02071 San Pedro,"48,1",1.187,"34,4","24,7","95,5","9,7","2,4",18.782,16.450,35.638,14.977,30.468,12.804,"2,4","29,8"
02072 Socovos,"48,5",1.671,"40,8","27,3","95,8","11,9","2,1",13.414,12.250,22.730,10.485,20.607,9.505,"2,4",29
02073 Tarazona de la Mancha,"44,7",6.115,"34,5","21,4","92,7","16,2","2,4",15.262,13.650,28.257,11.942,24.469,10.341,"2,4",29
02074 Tobarra,"44,2",7.786,"30,8","20,6","86,4","16,7","2,5",14.826,12.950,28.691,11.343,25.046,9.902,"2,4","29,7"
02075 Valdeganga,"47,4",1.968,"30,8","25,9","95,3","13,7","2,4",17.148,15.750,32.501,13.358,27.985,11.502,"2,5",29
02076 Vianos,"53,1",322,"52,4",32,"98,5","7,8","1,9",16.173,13.650,26.947,13.900,23.313,12.025,"2,4","29,2"
02077 Villa de Ves,"50,2",61,"53,3","24,6",82,"3,3",2,.,.,.,.,.,.,.,.
02078 Villalgordo del Júcar,"48,3",1.110,"35,9","25,3","91,7","11,8","2,3",14.984,14.350,27.041,11.754,23.969,10.419,"2,3","27,4"
