Municipios,Edad media de la población,Población,Porcentaje de hogares unipersonales,Porcentaje de población de 65 y más años,Porcentaje de población española,Porcentaje de población menor de 18 años,Tamaño medio del hogar,Media de la renta por unidad de consumo,Mediana de la renta por unidad de consumo,Renta bruta media por hogar,Renta bruta media por persona,Renta neta media por hogar,Renta neta media por persona,Distribución de la renta P80/P20,Índice de Gini
"43080 Masó, La","46,3",297,"28,1","25,3","94,6","16,5","2,5",23.532,19.250,47.521,19.396,38.612,15.760,"2,6","29,7"
43081 Maspujols,"39,6",857,24,"12,8",96,"20,8","2,7",24.357,22.750,52.321,19.467,42.394,15.773,"2,2",25
"43082 Masroig, El","47,7",467,"32,2","27,6","79,7","12,6","2,3",17.820,15.050,33.564,14.406,28.715,12.325,"2,4","30,7"
"43083 Milà, El","45,9",180,"22,9","23,9","97,8","16,7","2,6",20.372,17.850,41.443,15.975,34.420,13.268,"2,6","29,7"
43084 Miravet,"48,2",691,"33,8",30,88,"15,6","2,4",19.211,17.150,35.960,15.183,30.344,12.812,"2,9","31,8"
"43085 Molar, El","48,9",308,"30,4","29,6","84,7","12,3","2,5",19.609,17.850,38.554,15.647,32.834,13.325,"2,6","29,4"
43086 Montblanc,"43,5",7.427,"28,5",20,"85,8","17,9","2,5",22.381,20.650,46.510,18.226,38.094,14.928,"2,3","26,7"
43088 Montbrió del Camp,"40,2",3.096,"30,8","15,9",89,"22,1","2,5",20.831,18.550,41.835,16.807,34.353,13.802,"2,4","28,5"
43089 Montferri,"42,5",437,"30,2","18,3","91,1","18,5","2,4",18.950,17.150,36.735,15.121,30.931,12.732,"2,3",27
"43090 Montmell, El","42,8",1.891,"33,9","18,5","91,2","17,8","2,4",16.779,15.750,31.805,13.243,27.368,11.396,"2,4","28,2"
43091 Mont-ral,"45,6",184,"35,4","22,8",87,"15,8","2,2",21.020,15.750,40.888,18.222,33.765,15.047,"3,1","38,3"
43092 Mont-roig del Camp,43,13.647,"34,9","19,2","72,3","17,6","2,3",18.791,16.450,36.435,15.398,29.930,12.649,"2,8","32,9"
43093 Móra d'Ebre,"43,4",5.592,"26,3","20,1","80,6","18,1","2,6",20.604,17.850,43.578,16.690,35.397,13.557,"3,1","33,2"
43094 Móra la Nova,"43,6",3.185,"25,3","20,4",79,"17,1","2,6",19.161,17.150,41.117,15.211,34.152,12.634,"2,9","32,2"
"43095 Morell, El","39,7",3.853,"24,4","13,7","86,8","20,2","2,7",21.726,19.950,47.576,17.595,38.691,14.309,"2,3",28
"43096 Morera de Montsant, La","44,4",159,"29,9","20,1","71,1","13,8","2,4",20.300,19.250,39.725,16.594,33.072,13.815,"3,1",30
"43097 Nou de Gaià, La",40,629,25,"15,9","88,2","23,9","2,8",21.847,18.550,50.466,17.879,40.088,14.202,3,"34,2"
43098 Nulles,"40,4",546,"29,7","19,1","90,7","23,6","2,6",21.045,19.250,42.647,16.511,35.049,13.569,"2,2","24,9"
"43099 Palma d'Ebre, La","53,4",340,"35,6","37,1","83,8","8,8","2,1",16.938,14.350,28.237,13.217,24.800,11.609,"2,5",30
"43100 Pallaresos, Els","39,3",4.967,"16,6",12,"96,6","22,3",3,26.650,24.850,64.311,21.424,50.778,16.916,"2,1","24,8"
43101 Passanant i Belltall,"57,3",157,"57,1","38,9","96,8","5,1","1,9",24.917,23.450,42.793,22.768,35.046,18.646,"2,9","27,2"
43102 Paüls,"50,4",558,"30,2","33,5","92,3","14,2","2,5",19.364,17.850,36.526,14.650,31.757,12.737,"2,2","23,7"
43103 Perafort,"39,1",1.294,21,"12,5","94,5","21,9","2,8",24.639,22.750,54.631,19.635,44.011,15.818,"2,1","25,8"
"43104 Perelló, El","46,2",2.876,"30,3","25,1","71,9","16,3","2,4",17.676,15.750,33.631,13.755,28.287,11.570,"2,6","29,6"
"43105 Piles, Les","42,9",230,"35,2","22,2","87,4","21,3","2,6",22.497,24.150,47.725,18.131,38.966,14.804,"2,4","26,4"
"43106 Pinell de Brai, El","48,1",995,"25,9","28,9","86,5","13,8","2,6",18.557,17.150,37.727,14.034,32.660,12.149,"2,3","25,6"
43107 Pira,"43,6",510,"27,5","21,6","93,7","18,2","2,5",21.247,19.950,43.012,16.798,36.383,14.209,2,"20,9"
"43108 Pla de Santa Maria, El","44,1",2.364,"29,5","21,2","91,8","16,8","2,5",20.028,19.250,39.870,16.046,33.411,13.446,"2,3","26,2"
"43109 Pobla de Mafumet, La","35,5",4.076,"22,8","8,8","90,8","24,3","2,9",21.197,19.950,48.101,16.262,39.433,13.332,"2,1","24,9"
"43110 Pobla de Massaluca, La","49,7",338,"23,1","33,7","80,2","11,8","2,5",17.569,15.750,34.272,14.060,29.090,11.934,"2,6","30,6"
"43111 Pobla de Montornès, La","43,5",3.222,"29,3","19,4",90,"17,3","2,5",19.661,17.850,42.323,16.876,31.378,12.512,"2,3","26,7"
43112 Poboleda,"48,8",330,"34,2","27,9","90,9","13,6","2,2",17.462,15.050,32.481,14.854,27.394,12.528,"2,5",31
"43113 Pont d'Armentera, El","49,9",494,"36,3","31,4","87,7","11,7","2,1",18.488,17.850,32.032,15.093,27.603,13.006,"2,2","26,7"
43114 Porrera,48,435,"29,8","22,8",94,11,"2,4",20.265,18.550,39.171,16.177,33.114,13.676,"2,4","27,5"
43115 Pradell de la Teixeta,"48,5",173,"40,3","30,1","90,2","12,7","2,3",19.886,18.550,37.439,16.664,30.769,13.695,"2,4","26,5"
43116 Prades,"47,8",649,"39,4",26,"87,7","13,4","2,1",19.847,17.850,36.755,16.937,30.425,14.020,"2,3","28,2"
43117 Prat de Comte,"47,2",189,"34,7","27,5","86,8","13,8","2,5",18.144,17.850,35.810,14.210,30.995,12.299,"2,6","27,3"
43118 Pratdip,"47,4",728,"31,6","25,3","71,2","14,2","2,3",21.131,17.850,39.073,16.870,31.460,13.583,"2,8","31,6"
43119 Puigpelat,"39,7",1.220,"22,3","12,4","94,3","21,5","2,8",22.123,21.350,48.764,17.525,39.797,14.302,"2,1","24,3"
43120 Querol,"47,9",589,"39,2","25,1","92,7","11,7","2,1",19.220,16.450,34.470,16.548,29.067,13.954,"2,9","34,5"
43121 Rasquera,"50,6",815,"32,3","32,3","81,2",12,"2,4",17.715,15.050,33.127,13.544,28.154,11.511,"2,6","29,7"
43122 Renau,38,160,"16,7",10,"96,3","25,6",3,25.769,26.250,59.979,20.243,48.066,16.222,2,"23,1"
43123 Reus,"41,7",106.804,"26,8","18,5","82,1","19,5","2,6",20.271,17.850,42.934,16.439,35.267,13.503,"2,7","31,4"
"43124 Riba, La","48,7",570,"34,6","28,8",90,"11,9","2,2",24.173,21.350,46.009,20.823,37.159,16.818,"2,7","32,1"
43125 Riba-roja d'Ebre,"51,8",1.134,"36,6","32,9","84,6","10,9","2,2",21.241,19.950,40.025,17.793,32.976,14.660,"2,5","29,5"
"43126 Riera de Gaià, La","40,8",1.765,"22,8","15,6","91,8","22,7","2,8",22.680,20.650,50.766,18.155,40.862,14.613,"2,2","25,7"
43127 Riudecanyes,41,1.354,28,"15,3","83,7","19,1","2,5",21.347,19.250,43.790,17.238,35.375,13.926,"2,6","31,1"
43128 Riudecols,"43,6",1.223,"25,5",19,"88,5","15,1","2,4",21.006,20.650,42.121,17.244,34.929,14.300,"2,4","25,9"
43129 Riudoms,"42,2",6.795,"23,2","18,8","86,4","19,1","2,7",20.750,18.550,44.834,16.376,36.843,13.457,"2,6","29,7"
43130 Rocafort de Queralt,"47,6",243,"45,4","30,9","87,2","16,5","2,3",19.373,19.250,35.755,15.792,30.740,13.577,"2,4",27
43131 Roda de Berà,"43,3",7.692,"32,8","20,5","84,7","17,6","2,4",20.727,17.850,41.362,17.460,33.606,14.186,"2,6","30,8"
43132 Rodonyà,"45,8",527,"32,3","20,9","82,4","13,3","2,4",18.504,17.850,36.487,15.032,30.714,12.654,"3,3","33,6"
43133 Roquetes,"42,4",8.209,"24,1","18,5","84,7","18,5","2,7",19.116,17.850,40.409,15.044,33.839,12.598,"2,6","29,1"
"43134 Rourell, El","43,2",387,"24,7","17,6","89,2","17,3","2,6",20.700,20.650,42.888,16.435,35.465,13.590,"2,5","25,3"
43135 Salomó,"43,3",550,"34,8","21,1","71,6","18,7","2,5",18.624,16.450,37.364,15.056,31.272,12.601,"2,6","29,3"
"43136 Ràpita, La","45,3",15.114,"30,1","22,3","82,6","15,6","2,4",18.558,16.450,36.412,15.030,30.589,12.626,"2,5","29,6"
43137 Sant Jaume dels Domenys,"41,9",2.758,"26,1","18,1","93,5","20,5","2,6",20.469,18.550,41.888,16.256,35.041,13.599,"2,2",26
43138 Santa Bàrbara,"44,4",3.749,"31,4","22,5","84,2","17,4","2,4",17.157,15.750,33.126,13.579,28.217,11.567,"2,5","29,8"
43139 Santa Coloma de Queralt,"44,3",2.782,31,"23,4","87,2","16,6","2,5",21.335,19.250,43.305,17.341,35.601,14.256,"2,6","28,9"
43140 Santa Oliva,42,3.595,"22,1","18,4",89,"20,3","2,7",18.377,17.150,38.840,14.072,33.031,11.967,"2,5","27,2"
43141 Pontils,"47,7",129,"45,9","27,9","94,6","14,7","2,1",20.084,16.450,35.555,16.813,29.444,13.923,"2,6","31,9"
43142 Sarral,"44,1",1.584,"25,2","21,2","83,4","17,8","2,7",20.176,18.200,43.049,15.989,35.784,13.291,"2,3","28,9"
43143 Savallà del Comtat,"53,9",53,"48,2","28,3","98,1","1,9",2,.,.,43.326,22.118,35.004,17.869,.,.
"43144 Secuita, La","41,4",1.788,26,"15,9","92,5","19,5","2,6",24.435,22.050,53.979,20.326,42.834,16.129,"2,4","28,1"
"43145 Selva del Camp, La","42,1",5.656,"23,9","17,3","92,5","18,9","2,7",22.576,20.650,49.465,18.103,40.205,14.714,"2,4","26,5"
43146 Senan,"47,3",44,"54,6","27,3",100,"13,6",2,.,.,.,.,.,.,.,.
43147 Solivella,"48,2",632,"30,2",28,94,"13,6","2,4",22.923,22.050,46.015,18.995,37.895,15.643,"2,3","26,6"
43148 Tarragona,"42,6",136.461,30,"19,3","80,8","17,9","2,5",22.332,19.250,47.348,18.693,38.066,15.029,"2,9","33,1"
43149 Tivenys,"48,8",914,27,"28,9","82,5","12,3","2,5",18.326,16.450,35.637,14.417,30.785,12.454,"2,5","29,6"
43150 Tivissa,48,1.622,36,"26,3","85,8","13,6","2,3",20.063,17.850,37.506,15.757,31.249,13.128,"2,3","28,1"
"43151 Torre de Fontaubella, La","49,5",119,"43,6","30,3","95,8","15,1","2,2",22.158,19.950,41.982,19.017,33.667,15.251,2,"26,7"
"43152 Torre de l'Espanyol, La","46,9",621,"30,5","26,7","83,3","14,3","2,5",17.874,16.800,35.642,14.118,30.615,12.127,"2,8","31,1"
43153 Torredembarra,"43,7",17.483,"31,7","20,5","81,9","17,1","2,4",19.803,17.150,40.321,16.509,33.118,13.559,"2,9","32,3"
43154 Torroja del Priorat,"51,2",139,"33,3","29,5","89,2","10,1","2,2",19.044,16.450,35.354,15.742,29.590,13.175,"2,5","32,4"
43155 Tortosa,"42,9",34.263,"28,2","20,2","79,5","18,3","2,6",19.798,17.150,42.060,15.885,34.690,13.101,"2,9","32,6"
43156 Ulldecona,"43,8",6.404,"28,7","20,9","73,2","17,7","2,6",16.891,15.050,33.747,13.071,28.851,11.175,"2,7",30
43157 Ulldemolins,"54,3",419,"45,2","34,8","92,4","8,8",2,20.228,17.500,35.187,17.125,29.169,14.196,"2,8",32
43158 Vallclara,"47,4",95,"38,3","22,1","93,7","11,6",2,.,.,.,.,.,.,.,.
43159 Vallfogona de Riucorb,"56,7",93,"51,9","41,9","91,4","3,2","1,8",.,.,43.326,22.118,35.004,17.869,.,.
43160 Vallmoll,"41,9",1.919,"23,4",18,"90,2","19,1","2,7",23.671,20.650,51.537,19.093,41.546,15.391,"2,4","28,7"
43161 Valls,"42,7",24.535,"26,6",19,"83,8","18,3","2,6",20.891,19.250,44.650,16.907,36.736,13.910,"2,6","29,3"
43162 Vandellòs i l'Hospitalet de l'Infant,"42,1",6.922,30,"18,5","82,3","19,6","2,5",24.010,20.650,50.985,19.756,40.363,15.640,"2,9","33,2"
"43163 Vendrell, El","42,9",39.536,"30,3","19,6","83,8","18,4","2,5",19.402,17.150,39.248,15.851,32.637,13.181,"2,6","30,3"
43164 Vespella de Gaià,"45,7",495,"29,4","23,6","86,7","17,8","2,5",20.495,18.200,41.859,16.469,33.205,13.064,"2,9","30,8"
43165 Vilabella,"47,6",717,"27,9","26,4","88,4","13,5","2,5",22.055,19.950,44.580,17.612,36.982,14.610,"2,5","29,6"
43166 Vilallonga del Camp,"39,2",2.436,"24,4","14,9","90,2","23,2","2,7",21.739,19.950,46.115,17.274,37.673,14.112,"2,6","27,8"
43167 Vilanova d'Escornalbou,"44,8",595,"29,1","21,7","87,4",18,"2,5",19.622,17.850,40.326,15.789,33.142,12.976,"2,5","28,4"
43168 Vilanova de Prades,"45,6",114,"53,7","21,1","87,7","11,4","2,1",19.443,16.450,33.550,15.892,28.838,13.660,"2,9",29
43169 Vilaplana,47,557,31,"23,5","89,1","13,5","2,3",25.316,24.150,49.168,21.517,40.157,17.573,"2,3","26,5"
43170 Vila-rodona,"42,7",1.365,"29,4","20,7","82,5","19,9","2,5",19.122,17.850,38.006,15.242,31.498,12.632,"2,7",30
43171 Vila-seca,"40,2",23.384,"26,4","15,2","83,8","20,6","2,6",20.054,18.550,42.399,15.940,35.124,13.205,"2,3","27,9"
43172 Vilaverd,"44,8",454,"33,2","18,7","91,2","14,3","2,3",19.765,18.550,38.201,16.396,31.922,13.701,"2,1",25
"43173 Vilella Alta, La","47,1",130,"26,5","23,9","89,2","17,7","2,6",20.009,18.200,43.031,16.219,35.689,13.452,"2,3","26,4"
"43174 Vilella Baixa, La","47,5",201,37,"27,9","82,1","13,9","2,2",17.768,15.050,32.511,14.853,27.926,12.758,"2,5","33,2"
43175 Vilalba dels Arcs,"48,8",626,"28,3","29,7","94,9","14,2","2,5",17.314,16.450,33.981,13.527,29.314,11.669,"2,1",25
43176 Vimbodí i Poblet,"49,2",882,34,"27,9","90,5","13,7","2,3",20.816,19.950,39.887,17.114,33.577,14.407,"2,5","27,7"
43177 Vinebre,"45,4",410,"35,4","24,6","80,5","16,1","2,3",20.775,18.550,40.970,17.326,33.635,14.224,"3,4","36,8"
43178 Vinyols i els Arcs,"40,9",2.288,"30,6","15,1",85,"20,1","2,5",23.485,19.950,48.954,19.448,38.836,15.428,"2,8",33
43901 Deltebre,45,11.761,"25,5","22,5","88,6",16,"2,6",18.096,17.150,36.636,13.946,31.256,11.898,"2,4",27
43902 Sant Jaume d'Enveja,"46,2",3.594,"25,1","25,1",92,"15,5","2,5",17.206,15.750,34.253,13.380,29.520,11.532,"2,1","25,9"
43903 Camarles,"45,8",3.365,"28,4","23,9","82,8","15,5","2,5",17.983,16.450,35.479,13.891,30.342,11.880,"2,4","27,9"
"43904 Aldea, L'","42,9",4.433,"28,2","19,8","76,4","16,9","2,6",16.836,15.750,34.597,13.035,29.697,11.189,"2,4","28,4"
43905 Salou,"40,7",29.768,"32,5","14,1","67,2",18,"2,5",19.665,17.150,40.995,16.096,33.237,13.050,"2,9","33,6"
"43906 Ampolla, L'","47,3",3.585,"39,5",27,"75,6","13,8","2,2",20.372,18.550,38.132,17.119,31.172,13.994,"2,6","31,3"
"43907 Canonja, La","41,2",5.914,"22,2",17,"92,3","19,7","2,7",20.699,19.950,44.112,16.356,36.497,13.532,"2,1","24,9"
44001 Ababuj,"51,3",70,"42,4","27,1","97,1",10,"2,1",.,.,30.293,14.255,26.242,12.349,.,.
44002 Abejuela,"58,5",55,"60,6","38,2","98,2","3,6","1,7",.,.,31.482,16.326,27.052,14.029,.,.
44003 Aguatón,"65,5",15,50,"46,7",100,0,"2,5",.,.,38.571,18.919,31.883,15.639,.,.
44004 Aguaviva,"46,3",565,"30,8",23,"85,5","15,9","2,5",18.039,16.450,36.016,14.239,30.959,12.240,"2,2","27,8"
44005 Aguilar del Alfambra,46,81,"40,6","24,7","71,6","12,4","2,5",.,.,30.293,14.255,26.242,12.349,.,.
44006 Alacón,"62,9",212,46,"52,4","92,9","2,8","1,9",18.229,15.750,29.579,15.421,25.664,13.380,"2,4","35,4"
44007 Alba,"54,4",179,"49,5",38,"91,1","8,9","1,9",19.132,16.450,29.869,16.136,25.261,13.647,"2,7",30
44008 Albalate del Arzobispo,"47,6",1.952,32,"25,5","87,5","13,9","2,4",18.323,17.150,35.572,15.007,29.973,12.645,"2,5","27,4"
44009 Albarracín,"46,3",989,"34,8","21,8","89,3",14,"2,4",20.540,19.250,39.630,16.583,32.748,13.703,"2,3","26,8"
44010 Albentosa,"42,1",302,"34,8","15,9","76,5","19,9","2,6",17.219,15.050,36.587,14.290,29.507,11.524,"2,8","30,4"
44011 Alcaine,"56,3",48,"64,5","41,7","87,5","6,3","1,6",.,.,35.453,18.198,29.687,15.239,.,.
44012 Alcalá de la Selva,"49,4",381,"39,8","26,3","96,1","10,8","2,2",21.237,17.850,42.615,19.092,34.350,15.389,"2,5","27,7"
44013 Alcañiz,"42,4",15.826,"27,9",19,"85,4",20,"2,6",19.595,17.850,40.559,15.769,33.582,13.057,"2,5","28,5"
44014 Alcorisa,"44,3",3.200,28,"21,4","90,2",18,"2,5",19.145,17.850,39.019,15.313,32.746,12.852,"2,2",26
44016 Alfambra,"53,3",481,"45,4","38,7","89,2","9,8",2,19.144,17.150,32.849,16.148,28.135,13.831,"2,4","28,7"
44017 Aliaga,"51,2",342,"40,8","30,1","91,8","10,8","2,2",22.325,20.300,40.425,18.429,33.720,15.372,"2,4","27,1"
44018 Almohaja,"63,5",17,40,"41,2",100,0,"1,7",.,.,35.716,18.594,29.999,15.618,.,.
44019 Alobras,"54,6",71,"54,1","29,6","98,6","2,8","1,9",.,.,35.716,18.594,29.999,15.618,.,.
44020 Alpeñés,"57,2",25,"45,5",40,88,4,"2,3",.,.,35.453,18.198,29.687,15.239,.,.
44021 Allepuz,"51,7",121,"36,7","33,1","91,7","11,6","2,5",17.736,16.450,33.621,13.615,28.851,11.684,"2,9",32
44022 Alloza,"52,4",540,"39,8","35,7","92,6","12,2","2,1",18.784,17.150,34.157,15.957,28.825,13.466,"2,5","28,2"
44023 Allueva,"54,5",27,"42,9","40,7","88,9","7,4","1,9",.,.,35.453,18.198,29.687,15.239,.,.
44024 Anadón,"55,1",33,"43,8","30,3","93,9",0,"2,1",.,.,35.453,18.198,29.687,15.239,.,.
44025 Andorra,"45,7",7.074,"25,7","21,8","91,2","15,3","2,5",21.814,20.650,45.521,18.172,37.102,14.811,"2,4","28,1"
44026 Arcos de las Salinas,"46,5",115,"58,6","25,2","96,5","15,7",2,16.469,14.350,27.854,13.678,24.344,11.955,"2,9","30,2"
44027 Arens de Lledó,"56,3",189,25,"40,2",81,"7,4","2,5",14.960,14.350,27.553,10.775,24.780,9.690,"2,3","27,1"
44028 Argente,"55,3",192,"38,4","41,7","94,3","9,9","2,2",17.541,16.450,31.390,13.951,27.247,12.110,"2,4","27,6"
44029 Ariño,"49,1",663,"37,9","24,6","89,4","11,2","2,3",23.010,22.050,43.440,19.034,35.999,15.773,"2,2","24,9"
44031 Azaila,"55,4",98,50,"35,7","92,9","9,2","1,9",.,.,34.121,17.484,28.887,14.802,.,.
44032 Bádenas,"50,2",21,25,"23,8",100,"14,3","2,6",.,.,35.453,18.198,29.687,15.239,.,.
44033 Báguena,"55,1",273,"46,5","38,8",85,"8,1","1,9",17.540,17.150,28.277,14.666,24.627,12.773,"2,2","25,8"
44034 Bañón,54,150,29,"31,3","90,7","8,7","2,4",18.008,17.150,35.502,14.674,29.058,12.011,"2,9","29,9"
44035 Barrachina,"54,2",120,"37,5","34,2","88,3","9,2","2,1",20.368,17.850,36.788,17.168,31.055,14.492,"3,2","32,6"
44036 Bea,"53,8",28,50,"32,1","89,3","7,1","1,8",.,.,35.453,18.198,29.687,15.239,.,.
44037 Beceite,"49,4",570,"38,8","27,9","91,6","11,8","2,2",19.146,16.450,35.271,15.897,29.606,13.344,"2,5","28,1"
44038 Belmonte de San José,"52,5",127,"42,2","40,2","91,3","11,8",2,17.688,15.050,30.464,15.354,26.450,13.331,"2,3","32,2"
44039 Bello,"56,9",218,"50,4","39,9","92,7","6,4","1,9",20.608,16.450,35.606,18.456,29.710,15.400,"2,6","34,2"
44040 Berge,48,227,"38,5","26,4","90,8","12,8","2,4",18.898,16.450,36.348,15.279,31.172,13.103,"2,3","27,4"
44041 Bezas,"46,6",64,"33,3","18,8",100,"10,9","2,4",.,.,35.716,18.594,29.999,15.618,.,.
44042 Blancas,"53,6",135,"38,8","38,5","90,4","8,2",2,15.787,14.350,27.061,13.429,23.425,11.624,"2,6","31,5"
44043 Blesa,"61,5",78,"38,6",50,"98,7",0,"1,8",.,.,34.121,17.484,28.887,14.802,.,.
44044 Bordón,"47,5",112,"44,2","27,7","83,9","14,3","2,1",17.825,16.450,31.843,14.784,27.499,12.767,"3,2","34,7"
44045 Bronchales,"46,5",470,"51,4","22,6","88,9",13,"1,9",19.922,18.550,33.943,17.916,28.226,14.899,"2,4","28,7"
44046 Bueña,"52,7",55,"55,6","41,8","78,2","12,7",2,.,.,38.571,18.919,31.883,15.639,.,.
44047 Burbáguena,"56,8",180,"36,1","37,8","91,1","5,6","2,1",18.868,17.850,36.996,15.908,30.933,13.301,"2,3",28
44048 Cabra de Mora,"52,2",71,"60,5","22,5","94,4","4,2","1,9",.,.,30.293,14.255,26.242,12.349,.,.
44049 Calaceite,"49,6",956,"32,8","31,7","90,7","14,1","2,3",17.055,15.050,30.909,13.242,26.422,11.320,"2,4","30,7"
44050 Calamocha,"43,5",4.469,31,"20,7","81,6","17,7","2,5",19.469,17.150,38.955,15.789,32.596,13.212,"2,4","27,7"
44051 Calanda,"44,6",3.717,"29,2","21,8","78,7","16,2","2,5",17.337,15.750,34.391,13.565,29.405,11.599,"2,5","29,3"
44052 Calomarde,"57,5",73,"71,4","38,4","95,9","4,1","1,5",.,.,35.716,18.594,29.999,15.618,.,.
44053 Camañas,48,133,"43,1","29,3","84,2",15,"2,3",14.355,13.650,26.115,11.277,22.660,9.785,"3,4","32,9"
44054 Camarena de la Sierra,46,135,"52,3","24,4","94,1","15,6","2,1",21.799,17.850,38.303,18.294,31.686,15.134,"4,2","40,6"
44055 Camarillas,"47,8",121,"51,8","25,6","90,1","12,4","2,2",19.071,17.150,34.482,15.958,29.593,13.696,"2,3","26,7"
44056 Caminreal,"47,8",614,"33,9","28,7","74,3","14,3","2,4",19.832,16.450,39.396,16.237,32.855,13.541,"2,8","31,9"
44059 Cantavieja,"46,4",718,"38,4","26,3","92,8","15,5","2,4",19.348,17.850,36.197,15.244,30.801,12.971,2,"24,9"
44060 Cañada de Benatanduz,57,34,50,"44,1",100,"5,9","1,9",.,.,30.293,14.255,26.242,12.349,.,.
"44061 Cañada de Verich, La",53,87,40,"32,2","89,7","4,6","2,2",.,.,34.121,17.484,28.887,14.802,.,.
44062 Cañada Vellida,"58,7",40,"52,4","42,5","87,5","2,5","1,9",.,.,35.453,18.198,29.687,15.239,.,.
44063 Cañizar del Olivar,"45,4",103,50,"26,2","70,9","18,5","2,2",19.067,19.250,36.242,16.186,30.523,13.632,"3,2","29,1"
44064 Cascante del Río,"59,3",70,"63,6","44,3",100,"4,3","1,6",.,.,31.482,16.326,27.052,14.029,.,.
44065 Castejón de Tornos,"57,1",70,"47,4",40,"97,1","7,1","1,8",.,.,38.571,18.919,31.883,15.639,.,.
44066 Castel de Cabra,"53,9",89,"36,6","34,8","98,9","10,1","2,2",.,.,35.453,18.198,29.687,15.239,.,.
44067 Castelnou,"49,4",109,50,"30,3","91,7","15,6",2,15.585,15.050,25.894,12.828,22.399,11.097,"3,1","32,7"
44068 Castelserás,49,784,"27,5","30,2","93,4","14,7","2,5",19.004,18.550,38.036,14.984,32.305,12.726,"2,2","24,5"
"44070 Castellar, El","57,5",55,"38,5","36,4","94,6",0,"2,1",.,.,30.293,14.255,26.242,12.349,.,.
44071 Castellote,"52,3",665,"37,3","32,8","92,6","9,5","2,2",18.721,17.850,34.568,15.496,29.363,13.163,"2,6","26,8"
44074 Cedrillas,"43,3",636,"30,3","20,1","76,9","17,3","2,5",19.999,17.150,40.581,16.104,33.530,13.305,"2,9","30,4"
44075 Celadas,"51,9",342,35,"29,8","94,2","5,9","2,5",20.330,18.550,40.994,16.325,34.498,13.738,"2,7","29,3"
44076 Cella,"47,5",2.617,"32,5","27,3","89,2","15,2","2,4",19.955,18.550,38.471,16.052,32.455,13.542,"2,2","25,1"
"44077 Cerollera, La","50,9",76,"54,1",29,"90,8","9,2",2,.,.,34.121,17.484,28.887,14.802,.,.
"44080 Codoñera, La",50,320,"36,6","26,3","89,1","13,1","2,2",18.382,15.750,33.790,15.067,28.698,12.797,"2,4","31,6"
44082 Corbalán,"45,3",113,"45,1","17,7","94,7",15,"2,2",22.031,24.150,41.094,18.511,34.080,15.351,"2,2","24,4"
44084 Cortes de Aragón,56,61,"51,6","32,8","96,7","4,9",2,.,.,35.453,18.198,29.687,15.239,.,.
44085 Cosa,"53,7",61,"53,3","29,5",100,"4,9",2,.,.,35.453,18.198,29.687,15.239,.,.
44086 Cretas,"49,1",556,"36,3","29,5","86,3","15,7","2,2",15.561,14.350,27.157,12.131,23.188,10.358,"2,2","26,4"
44087 Crivillén,"51,2",90,"31,4","35,6","78,9","11,1","2,6",.,.,35.453,18.198,29.687,15.239,.,.
"44088 Cuba, La","42,8",51,"38,9","17,7","52,9","21,6","2,8",.,.,30.293,14.255,26.242,12.349,.,.
44089 Cubla,"47,2",71,40,"22,5","97,2",7,2,.,.,31.482,16.326,27.052,14.029,.,.
44090 Cucalón,"54,9",75,"64,4",40,96,"9,3","1,7",.,.,35.453,18.198,29.687,15.239,.,.
"44092 Cuervo, El","56,4",99,"40,8","41,4","93,9","10,1",2,.,.,35.716,18.594,29.999,15.618,.,.
44093 Cuevas de Almudén,"45,9",119,"24,4","27,7","75,6","15,1","2,6",22.697,20.650,48.892,18.488,40.230,15.213,"3,4","28,9"
44094 Cuevas Labradas,"55,4",135,"47,6","41,5","97,8","7,4","2,1",20.366,18.550,36.056,16.683,29.834,13.804,"2,5","28,2"
44096 Ejulve,"51,5",175,"39,2","34,3","86,9","8,6","2,2",22.167,19.250,44.237,19.920,34.857,15.696,"2,6","28,2"
44097 Escorihuela,"55,3",142,"40,9","37,3","92,3",7,"2,1",17.341,15.750,30.636,14.106,26.588,12.242,"2,5","28,5"
44099 Escucha,"43,9",772,"32,7",19,"89,9","15,4","2,5",20.099,19.950,41.618,16.636,34.435,13.765,"2,6","26,6"
44100 Estercuel,"50,1",198,"39,8","27,8","92,4","7,6","2,1",23.507,23.450,44.009,20.553,36.120,16.868,2,"22,3"
44101 Ferreruela de Huerva,"50,4",75,"35,3","30,7",88,12,"2,2",.,.,35.453,18.198,29.687,15.239,.,.
44102 Fonfría,"55,4",32,"43,8","34,4","84,4","9,4",2,.,.,35.453,18.198,29.687,15.239,.,.
44103 Formiche Alto,50,160,"45,1","28,8","90,6","7,5","2,3",20.316,20.650,36.563,16.097,31.223,13.746,"2,6","25,9"
44105 Fórnoles,"53,4",85,"62,5","38,8","88,2","7,1","1,8",.,.,34.121,17.484,28.887,14.802,.,.
44106 Fortanete,"45,4",211,"44,7","22,8","82,5","18,5","2,2",16.963,16.450,29.734,13.476,25.038,11.347,"2,5","25,8"
44107 Foz-Calanda,"44,8",282,"34,5","19,5","86,9",16,"2,5",14.905,13.650,28.655,11.360,25.211,9.994,"2,2","25,9"
"44108 Fresneda, La","48,9",462,"33,3","29,7","79,7","12,8","2,3",16.704,14.350,29.976,13.278,26.106,11.564,"2,5","31,4"
